%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
64235000000,6403,64235000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64245000000,6404,64245000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64255000000,6405,64255000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64265000000,6406,64264000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64275000000,6407,64275000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64284000000,6408,64285000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64295000000,6409,64295000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64305000000,6410,64305000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64315000000,6411,64315000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64325000000,6412,64325000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64336000000,6413,64335000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64345000000,6414,64345000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64355000000,6415,64355000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64365000000,6416,64365000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64375000000,6417,64375000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64386000000,6418,64385000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64395000000,6419,64395000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64405000000,6420,64405000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64415000000,6421,64415000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64425000000,6422,64425000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64436000000,6423,64435000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64445000000,6424,64444000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64455000000,6425,64455000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64466000000,6426,64465000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64475000000,6427,64475000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
64485000000,6428,64484000000,,bracket_1_2_joint,bracket_2_3_joint,bracket_3_4_joint,bracket_4_5_joint,bracket_5_6_joint,bracket_6_7_joint,8.881784197e-16,0.0,0.0,0.0,0.0,0.0
